CONFIG 5
benchmark_file: slurm/data/20241118_215701/benchmarks/random_t_1000_200_0.lss
decoder_latency_or_dist_filename: lambda volume: volume*1.291549665014884
distance: 21
lightweight_setting: 1
max_parallel_processes: None
missed_speculation_modifier: 1.4
poison_policy: successors
rng: 0
scheduling_method: sliding
speculation_accuracy: 0.0
speculation_latency: 1
speculation_mode: separate
2024-11-18 21:57:06 | Loading benchmark slurm/data/20241118_215701/benchmarks/random_t_1000_200_0.lss...
2024-11-18 21:57:06 | Starting simulation
Failed to get source of decoding_latency_fn: could not get source code
2024-11-18 21:57:07 | Simulation update: decoder round 1, completed instructions: 0/4997, actively running or decoding instructions: 1, waiting windows: 0/0. Max active instruction index: 0
2024-11-18 21:57:17 | Simulation update: decoder round 9211, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 219/445. Max active instruction index: 17
2024-11-18 21:57:27 | Simulation update: decoder round 12596, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 301/607. Max active instruction index: 17
2024-11-18 21:57:37 | Simulation update: decoder round 15137, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 385/773. Max active instruction index: 22
2024-11-18 21:57:47 | Simulation update: decoder round 17133, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 480/963. Max active instruction index: 22
2024-11-18 21:57:57 | Simulation update: decoder round 18763, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 556/1117. Max active instruction index: 22
2024-11-18 21:58:07 | Simulation update: decoder round 20159, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 624/1251. Max active instruction index: 22
2024-11-18 21:58:17 | Simulation update: decoder round 21395, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 683/1369. Max active instruction index: 22
2024-11-18 21:58:27 | Simulation update: decoder round 22513, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 736/1475. Max active instruction index: 22
2024-11-18 21:58:37 | Simulation update: decoder round 23543, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 785/1573. Max active instruction index: 22
2024-11-18 21:58:47 | Simulation update: decoder round 24504, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 831/1665. Max active instruction index: 22
2024-11-18 21:58:57 | Simulation update: decoder round 25407, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 874/1751. Max active instruction index: 22
2024-11-18 21:59:07 | Simulation update: decoder round 26260, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 913/1831. Max active instruction index: 22
2024-11-18 21:59:17 | Simulation update: decoder round 27067, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 953/1909. Max active instruction index: 22
2024-11-18 21:59:27 | Simulation update: decoder round 27835, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 988/1981. Max active instruction index: 22
2024-11-18 21:59:37 | Simulation update: decoder round 28569, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 1023/2051. Max active instruction index: 22
2024-11-18 21:59:47 | Simulation update: decoder round 29266, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 1056/2117. Max active instruction index: 22
2024-11-18 21:59:57 | Simulation update: decoder round 29934, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 1088/2181. Max active instruction index: 22
2024-11-18 22:00:07 | Simulation update: decoder round 30570, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 1118/2241. Max active instruction index: 22
2024-11-18 22:00:17 | Simulation update: decoder round 31172, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 1148/2299. Max active instruction index: 22
2024-11-18 22:00:27 | Simulation update: decoder round 31759, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 1176/2355. Max active instruction index: 22
2024-11-18 22:00:37 | Simulation update: decoder round 32337, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 1204/2411. Max active instruction index: 22
2024-11-18 22:00:47 | Simulation update: decoder round 32890, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 1230/2463. Max active instruction index: 22
2024-11-18 22:00:57 | Simulation update: decoder round 33443, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 1255/2515. Max active instruction index: 22
2024-11-18 22:01:07 | Simulation update: decoder round 33967, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 1280/2565. Max active instruction index: 22
