CONFIG 8
benchmark_file: slurm/data/20241118_215701/benchmarks/random_t_1000_200_0.lss
decoder_latency_or_dist_filename: lambda volume: volume*5.994842503189409
distance: 21
lightweight_setting: 1
max_parallel_processes: None
missed_speculation_modifier: 1.4
poison_policy: successors
rng: 0
scheduling_method: sliding
speculation_accuracy: 0.0
speculation_latency: 1
speculation_mode: separate
2024-11-18 21:57:05 | Loading benchmark slurm/data/20241118_215701/benchmarks/random_t_1000_200_0.lss...
2024-11-18 21:57:06 | Starting simulation
Failed to get source of decoding_latency_fn: could not get source code
2024-11-18 21:57:06 | Simulation update: decoder round 1, completed instructions: 0/4997, actively running or decoding instructions: 1, waiting windows: 0/0. Max active instruction index: 0
2024-11-18 21:57:16 | Simulation update: decoder round 17213, completed instructions: 9/4997, actively running or decoding instructions: 4, waiting windows: 414/822. Max active instruction index: 7
2024-11-18 21:57:26 | Simulation update: decoder round 23794, completed instructions: 9/4997, actively running or decoding instructions: 4, waiting windows: 571/1136. Max active instruction index: 7
2024-11-18 21:57:36 | Simulation update: decoder round 28830, completed instructions: 9/4997, actively running or decoding instructions: 3, waiting windows: 691/1376. Max active instruction index: 7
2024-11-18 21:57:46 | Simulation update: decoder round 33029, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 791/1577. Max active instruction index: 12
2024-11-18 21:57:56 | Simulation update: decoder round 36473, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 873/1741. Max active instruction index: 12
2024-11-18 21:58:06 | Simulation update: decoder round 39455, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 944/1883. Max active instruction index: 12
2024-11-18 21:58:16 | Simulation update: decoder round 42101, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1007/2009. Max active instruction index: 12
2024-11-18 21:58:26 | Simulation update: decoder round 44494, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1064/2123. Max active instruction index: 12
2024-11-18 21:58:36 | Simulation update: decoder round 46679, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1116/2227. Max active instruction index: 12
2024-11-18 21:58:46 | Simulation update: decoder round 48719, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1164/2324. Max active instruction index: 12
2024-11-18 21:58:56 | Simulation update: decoder round 50627, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1210/2415. Max active instruction index: 12
2024-11-18 21:59:06 | Simulation update: decoder round 52410, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1252/2500. Max active instruction index: 12
2024-11-18 21:59:16 | Simulation update: decoder round 54093, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1292/2580. Max active instruction index: 12
2024-11-18 21:59:26 | Simulation update: decoder round 55701, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1330/2656. Max active instruction index: 12
2024-11-18 21:59:36 | Simulation update: decoder round 57221, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1367/2729. Max active instruction index: 12
2024-11-18 21:59:47 | Simulation update: decoder round 58691, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1402/2799. Max active instruction index: 12
2024-11-18 21:59:57 | Simulation update: decoder round 60095, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1435/2866. Max active instruction index: 12
2024-11-18 22:00:07 | Simulation update: decoder round 61445, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1467/2930. Max active instruction index: 12
2024-11-18 22:00:17 | Simulation update: decoder round 62739, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1498/2991. Max active instruction index: 12
2024-11-18 22:00:27 | Simulation update: decoder round 63983, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1528/3051. Max active instruction index: 12
2024-11-18 22:00:37 | Simulation update: decoder round 65201, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1557/3109. Max active instruction index: 12
2024-11-18 22:00:47 | Simulation update: decoder round 66377, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1585/3165. Max active instruction index: 12
2024-11-18 22:00:57 | Simulation update: decoder round 67511, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1612/3219. Max active instruction index: 12
2024-11-18 22:01:07 | Simulation update: decoder round 68619, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 1638/3271. Max active instruction index: 12
