CONFIG 7
benchmark_file: slurm/data/20241118_215701/benchmarks/random_t_1000_200_0.lss
decoder_latency_or_dist_filename: lambda volume: volume*3.593813663804626
distance: 21
lightweight_setting: 1
max_parallel_processes: None
missed_speculation_modifier: 1.4
poison_policy: successors
rng: 0
scheduling_method: sliding
speculation_accuracy: 0.0
speculation_latency: 1
speculation_mode: separate
2024-11-18 21:57:06 | Loading benchmark slurm/data/20241118_215701/benchmarks/random_t_1000_200_0.lss...
2024-11-18 21:57:06 | Starting simulation
Failed to get source of decoding_latency_fn: could not get source code
2024-11-18 21:57:07 | Simulation update: decoder round 1, completed instructions: 0/4997, actively running or decoding instructions: 1, waiting windows: 0/0. Max active instruction index: 0
2024-11-18 21:57:17 | Simulation update: decoder round 9836, completed instructions: 9/4997, actively running or decoding instructions: 4, waiting windows: 237/471. Max active instruction index: 7
2024-11-18 21:57:27 | Simulation update: decoder round 12956, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 312/621. Max active instruction index: 12
2024-11-18 21:57:37 | Simulation update: decoder round 15295, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 367/732. Max active instruction index: 12
2024-11-18 21:57:47 | Simulation update: decoder round 17246, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 413/825. Max active instruction index: 12
2024-11-18 21:57:57 | Simulation update: decoder round 18943, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 454/906. Max active instruction index: 12
2024-11-18 21:58:07 | Simulation update: decoder round 20472, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 490/978. Max active instruction index: 12
2024-11-18 21:58:17 | Simulation update: decoder round 21877, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 523/1045. Max active instruction index: 12
2024-11-18 21:58:27 | Simulation update: decoder round 23180, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 554/1107. Max active instruction index: 12
2024-11-18 21:58:37 | Simulation update: decoder round 24398, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 583/1165. Max active instruction index: 12
2024-11-18 21:58:47 | Simulation update: decoder round 25552, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 611/1220. Max active instruction index: 12
2024-11-18 21:58:57 | Simulation update: decoder round 26644, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 637/1272. Max active instruction index: 12
2024-11-18 21:59:07 | Simulation update: decoder round 27682, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 662/1322. Max active instruction index: 12
2024-11-18 21:59:17 | Simulation update: decoder round 28673, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 685/1369. Max active instruction index: 12
2024-11-18 21:59:27 | Simulation update: decoder round 29623, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 708/1414. Max active instruction index: 12
2024-11-18 21:59:37 | Simulation update: decoder round 30534, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 730/1458. Max active instruction index: 12
2024-11-18 21:59:47 | Simulation update: decoder round 31409, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 750/1499. Max active instruction index: 12
2024-11-18 21:59:57 | Simulation update: decoder round 32256, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 771/1540. Max active instruction index: 12
2024-11-18 22:00:07 | Simulation update: decoder round 33064, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 790/1578. Max active instruction index: 12
2024-11-18 22:00:17 | Simulation update: decoder round 33833, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 808/1615. Max active instruction index: 12
2024-11-18 22:00:27 | Simulation update: decoder round 34586, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 827/1651. Max active instruction index: 12
2024-11-18 22:00:37 | Simulation update: decoder round 35327, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 844/1686. Max active instruction index: 12
2024-11-18 22:00:47 | Simulation update: decoder round 36040, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 861/1720. Max active instruction index: 12
2024-11-18 22:00:57 | Simulation update: decoder round 36754, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 878/1754. Max active instruction index: 12
2024-11-18 22:01:07 | Simulation update: decoder round 37433, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 894/1786. Max active instruction index: 12
