CONFIG 4
benchmark_file: slurm/data/20241118_215701/benchmarks/random_t_1000_200_0.lss
decoder_latency_or_dist_filename: lambda volume: volume*0.774263682681127
distance: 21
lightweight_setting: 1
max_parallel_processes: None
missed_speculation_modifier: 1.4
poison_policy: successors
rng: 0
scheduling_method: sliding
speculation_accuracy: 0.0
speculation_latency: 1
speculation_mode: separate
2024-11-18 21:57:06 | Loading benchmark slurm/data/20241118_215701/benchmarks/random_t_1000_200_0.lss...
2024-11-18 21:57:06 | Starting simulation
Failed to get source of decoding_latency_fn: could not get source code
2024-11-18 21:57:07 | Simulation update: decoder round 1, completed instructions: 0/4997, actively running or decoding instructions: 1, waiting windows: 0/0. Max active instruction index: 0
2024-11-18 21:57:17 | Simulation update: decoder round 11083, completed instructions: 39/4997, actively running or decoding instructions: 4, waiting windows: 227/802. Max active instruction index: 37
2024-11-18 21:57:27 | Simulation update: decoder round 15547, completed instructions: 39/4997, actively running or decoding instructions: 4, waiting windows: 183/1014. Max active instruction index: 37
2024-11-18 21:57:37 | Simulation update: decoder round 19067, completed instructions: 44/4997, actively running or decoding instructions: 4, waiting windows: 240/1184. Max active instruction index: 42
2024-11-18 21:57:47 | Simulation update: decoder round 21827, completed instructions: 44/4997, actively running or decoding instructions: 4, waiting windows: 283/1315. Max active instruction index: 42
2024-11-18 21:57:57 | Simulation update: decoder round 24226, completed instructions: 44/4997, actively running or decoding instructions: 4, waiting windows: 321/1429. Max active instruction index: 42
2024-11-18 21:58:07 | Simulation update: decoder round 26567, completed instructions: 44/4997, actively running or decoding instructions: 4, waiting windows: 359/1541. Max active instruction index: 42
2024-11-18 21:58:17 | Simulation update: decoder round 28486, completed instructions: 49/4997, actively running or decoding instructions: 4, waiting windows: 389/1634. Max active instruction index: 47
2024-11-18 21:58:27 | Simulation update: decoder round 30252, completed instructions: 49/4997, actively running or decoding instructions: 4, waiting windows: 417/1718. Max active instruction index: 47
2024-11-18 21:58:37 | Simulation update: decoder round 31894, completed instructions: 49/4997, actively running or decoding instructions: 4, waiting windows: 443/1796. Max active instruction index: 47
2024-11-18 21:58:47 | Simulation update: decoder round 33438, completed instructions: 49/4997, actively running or decoding instructions: 4, waiting windows: 468/1870. Max active instruction index: 47
2024-11-18 21:58:57 | Simulation update: decoder round 34887, completed instructions: 49/4997, actively running or decoding instructions: 4, waiting windows: 491/1939. Max active instruction index: 47
2024-11-18 21:59:07 | Simulation update: decoder round 36257, completed instructions: 49/4997, actively running or decoding instructions: 4, waiting windows: 512/2004. Max active instruction index: 47
2024-11-18 21:59:17 | Simulation update: decoder round 37554, completed instructions: 49/4997, actively running or decoding instructions: 4, waiting windows: 533/2066. Max active instruction index: 47
2024-11-18 21:59:27 | Simulation update: decoder round 38797, completed instructions: 49/4997, actively running or decoding instructions: 4, waiting windows: 552/2125. Max active instruction index: 47
2024-11-18 21:59:37 | Simulation update: decoder round 39989, completed instructions: 49/4997, actively running or decoding instructions: 4, waiting windows: 572/2182. Max active instruction index: 47
2024-11-18 21:59:47 | Simulation update: decoder round 41166, completed instructions: 49/4997, actively running or decoding instructions: 4, waiting windows: 590/2238. Max active instruction index: 47
2024-11-18 21:59:57 | Simulation update: decoder round 42345, completed instructions: 49/4997, actively running or decoding instructions: 3, waiting windows: 609/2294. Max active instruction index: 47
2024-11-18 22:00:07 | Simulation update: decoder round 43396, completed instructions: 54/4997, actively running or decoding instructions: 4, waiting windows: 626/2346. Max active instruction index: 52
2024-11-18 22:00:17 | Simulation update: decoder round 44401, completed instructions: 54/4997, actively running or decoding instructions: 4, waiting windows: 641/2393. Max active instruction index: 52
2024-11-18 22:00:27 | Simulation update: decoder round 45370, completed instructions: 54/4997, actively running or decoding instructions: 4, waiting windows: 657/2440. Max active instruction index: 52
2024-11-18 22:00:37 | Simulation update: decoder round 46325, completed instructions: 54/4997, actively running or decoding instructions: 4, waiting windows: 672/2485. Max active instruction index: 52
2024-11-18 22:00:47 | Simulation update: decoder round 47249, completed instructions: 54/4997, actively running or decoding instructions: 4, waiting windows: 686/2529. Max active instruction index: 52
2024-11-18 22:00:57 | Simulation update: decoder round 48156, completed instructions: 54/4997, actively running or decoding instructions: 4, waiting windows: 700/2572. Max active instruction index: 52
2024-11-18 22:01:07 | Simulation update: decoder round 49031, completed instructions: 54/4997, actively running or decoding instructions: 4, waiting windows: 715/2614. Max active instruction index: 52
