CONFIG 6
benchmark_file: slurm/data/20241118_215701/benchmarks/random_t_1000_200_0.lss
decoder_latency_or_dist_filename: lambda volume: volume*2.1544346900318834
distance: 21
lightweight_setting: 1
max_parallel_processes: None
missed_speculation_modifier: 1.4
poison_policy: successors
rng: 0
scheduling_method: sliding
speculation_accuracy: 0.0
speculation_latency: 1
speculation_mode: separate
2024-11-18 21:57:06 | Loading benchmark slurm/data/20241118_215701/benchmarks/random_t_1000_200_0.lss...
2024-11-18 21:57:06 | Starting simulation
Failed to get source of decoding_latency_fn: could not get source code
2024-11-18 21:57:07 | Simulation update: decoder round 1, completed instructions: 0/4997, actively running or decoding instructions: 1, waiting windows: 0/0. Max active instruction index: 0
2024-11-18 21:57:17 | Simulation update: decoder round 12432, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 297/596. Max active instruction index: 12
2024-11-18 21:57:27 | Simulation update: decoder round 16554, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 395/792. Max active instruction index: 12
2024-11-18 21:57:37 | Simulation update: decoder round 19882, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 475/951. Max active instruction index: 12
2024-11-18 21:57:47 | Simulation update: decoder round 22932, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 546/1097. Max active instruction index: 17
2024-11-18 21:57:57 | Simulation update: decoder round 25360, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 605/1213. Max active instruction index: 17
2024-11-18 21:58:07 | Simulation update: decoder round 27433, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 653/1311. Max active instruction index: 17
2024-11-18 21:58:17 | Simulation update: decoder round 29260, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 697/1398. Max active instruction index: 17
2024-11-18 21:58:27 | Simulation update: decoder round 30905, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 737/1477. Max active instruction index: 17
2024-11-18 21:58:37 | Simulation update: decoder round 32417, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 773/1549. Max active instruction index: 17
2024-11-18 21:58:47 | Simulation update: decoder round 33823, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 806/1616. Max active instruction index: 17
2024-11-18 21:58:57 | Simulation update: decoder round 35133, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 837/1678. Max active instruction index: 17
2024-11-18 21:59:07 | Simulation update: decoder round 36365, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 867/1737. Max active instruction index: 17
2024-11-18 21:59:17 | Simulation update: decoder round 37533, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 894/1792. Max active instruction index: 17
2024-11-18 21:59:27 | Simulation update: decoder round 38640, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 920/1845. Max active instruction index: 17
2024-11-18 21:59:37 | Simulation update: decoder round 39702, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 945/1895. Max active instruction index: 17
2024-11-18 21:59:47 | Simulation update: decoder round 40704, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 969/1943. Max active instruction index: 17
2024-11-18 21:59:57 | Simulation update: decoder round 41663, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 992/1989. Max active instruction index: 17
2024-11-18 22:00:07 | Simulation update: decoder round 42572, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 1014/2032. Max active instruction index: 17
2024-11-18 22:00:17 | Simulation update: decoder round 43435, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 1034/2073. Max active instruction index: 17
2024-11-18 22:00:27 | Simulation update: decoder round 44280, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 1054/2113. Max active instruction index: 17
2024-11-18 22:00:37 | Simulation update: decoder round 45108, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 1074/2153. Max active instruction index: 17
2024-11-18 22:00:47 | Simulation update: decoder round 45904, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 1094/2191. Max active instruction index: 17
2024-11-18 22:00:57 | Simulation update: decoder round 46695, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 1112/2228. Max active instruction index: 17
2024-11-18 22:01:07 | Simulation update: decoder round 47448, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 1130/2264. Max active instruction index: 17
